Coordinate 1,Coordinate 2,Ellipsoid Dimensions,Tags,Description,Segment IDs,Parent ID,Type,ID
"(9501, 10623, 467)",,,,,,,Point,
"(9582, 10730, 468)",,,,,,,Point,
"(9444, 8702, 469)",,,,,,,Point,
"(11287, 10665, 470)",,,,,,,Point,
"(10173, 9044, 471)",,,,,,,Point,
"(10442, 8614, 472)",,,,,,,Point,
"(10765, 8837, 473)",,,,,,,Point,
"(10035, 8134, 474)",,,,,,,Point,
"(10008, 8422, 475)",,,,,,,Point,
"(10181, 8314, 476)",,,,,,,Point,
"(10047, 7834, 477)",,,,,,,Point,
"(10546, 9390, 478)",,,,,,,Point,
"(11107, 9747, 479)",,,,,,,Point,
"(10419, 7488, 480)",,,,,,,Point,
"(10266, 7185, 481)",,,,,,,Point,
"(10677, 6666, 482)",,,,,,,Point,
"(10423, 7481, 483)",,,,,,,Point,
"(10692, 7216, 484)",,,,,,,Point,
"(10312, 8130, 485)",,,,,,,Point,
"(10415, 7335, 486)",,,,,,,Point,
"(10703, 7216, 487)",,,,,,,Point,
"(10435, 7469, 488)",,,,,,,Point,
"(10227, 7546, 489)",,,,,,,Point,
"(9966, 7419, 490)",,,,,,,Point,
"(10427, 7477, 491)",,,,,,,Point,
"(9974, 7615, 492)",,,,,,,Point,
"(9755, 9616, 493)",,,,,,,Point,
"(10561, 9532, 494)",,,,,,,Point,
"(10611, 8260, 495)",,,,,,,Point,
"(9862, 7899, 496)",,,,,,,Point,
"(10323, 7934, 497)",,,,,,,Point,
"(10411, 8456, 498)",,,,,,,Point,
"(10596, 8226, 499)",,,,,,,Point,
"(10508, 8864, 500)",,,,,,,Point,
"(10319, 8030, 501)",,,,,,,Point,
"(10404, 8207, 502)",,,,,,,Point,
"(10327, 8303, 503)",,,,,,,Point,
"(10550, 8088, 504)",,,,,,,Point,
"(10400, 8195, 505)",,,,,,,Point,
"(10093, 8314, 506)",,,,,,,Point,
"(10557, 8180, 507)",,,,,,,Point,
"(10200, 8291, 508)",,,,,,,Point,
"(10907, 10757, 509)",,,,,,,Point,
"(11721, 11026, 510)",,,,,,,Point,
"(9770, 10988, 511)",,,,,,,Point,
"(10262, 10300, 512)",,,,,,,Point,
"(12247, 9674, 513)",,,,,,,Point,
"(9762, 10988, 514)",,,,,,,Point,
"(12320, 10531, 515)",,,,,,,Point,
"(12021, 10369, 516)",,,,,,,Point,
"(9820, 10573, 517)",,,,,,,Point,
"(11694, 9997, 518)",,,,,,,Point,
"(11879, 9789, 519)",,,,,,,Point,
"(12620, 10450, 520)",,,,,,,Point,
"(10604, 10822, 521)",,,,,,,Point,
"(11967, 10327, 522)",,,,,,,Point,
"(12340, 10127, 523)",,,,,,,Point,
"(12486, 10381, 524)",,,,,,,Point,
"(12374, 10108, 525)",,,,,,,Point,
"(12044, 10096, 526)",,,,,,,Point,
"(10484, 10189, 527)",,,,,,,Point,
"(9943, 10554, 528)",,,,,,,Point,
"(12078, 10189, 529)",,,,,,,Point,
"(12363, 10373, 530)",,,,,,,Point,
"(10004, 9563, 531)",,,,,,,Point,
"(11990, 9758, 532)",,,,,,,Point,
"(11863, 10112, 533)",,,,,,,Point,
"(12013, 9624, 534)",,,,,,,Point,
"(12002, 10039, 535)",,,,,,,Point,
"(10254, 9862, 536)",,,,,,,Point,
"(12378, 10308, 537)",,,,,,,Point,
"(11264, 10646, 538)",,,,,,,Point,
"(12547, 9851, 539)",,,,,,,Point,
"(12259, 9893, 540)",,,,,,,Point,
"(10024, 9927, 541)",,,,,,,Point,
"(9543, 10300, 542)",,,,,,,Point,
"(13116, 10016, 543)",,,,,,,Point,
"(10634, 9828, 544)",,,,,,,Point,
"(12566, 9893, 545)",,,,,,,Point,
"(15578, 11644, 546)",,,,,,,Point,
"(13319, 10580, 547)",,,,,,,Point,
"(12151, 10565, 548)",,,,,,,Point,
"(13135, 10903, 549)",,,,,,,Point,
"(10365, 11164, 550)",,,,,,,Point,
"(11618, 10676, 551)",,,,,,,Point,
"(13903, 10531, 552)",,,,,,,Point,
"(12766, 10369, 553)",,,,,,,Point,
"(13000, 10050, 554)",,,,,,,Point,
"(12447, 10492, 555)",,,,,,,Point,
"(11894, 11034, 556)",,,,,,,Point,
"(9236, 11959, 557)",,,,,,,Point,
"(12947, 9075, 558)",,,,,,,Point,
"(12835, 12297, 559)",,,,,,,Point,
"(12705, 12701, 560)",,,,,,,Point,
"(12843, 12751, 561)",,,,,,,Point,
"(11306, 13046, 562)",,,,,,,Point,
"(12689, 12516, 563)",,,,,,,Point,
"(12920, 12251, 564)",,,,,,,Point,
"(14253, 12370, 565)",,,,,,,Point,
"(13749, 12831, 566)",,,,,,,Point,
"(14372, 11618, 567)",,,,,,,Point,
"(13596, 12470, 568)",,,,,,,Point,
"(12221, 13139, 569)",,,,,,,Point,
"(12593, 12466, 570)",,,,,,,Point,
"(12017, 12697, 571)",,,,,,,Point,
"(11691, 12382, 572)",,,,,,,Point,
"(11072, 11917, 573)",,,,,,,Point,
"(12678, 12697, 574)",,,,,,,Point,
"(12290, 12347, 575)",,,,,,,Point,
"(12194, 12789, 576)",,,,,,,Point,
"(11921, 11902, 577)",,,,,,,Point,
"(13719, 11429, 578)",,,,,,,Point,
"(12755, 11752, 579)",,,,,,,Point,
"(12267, 12662, 580)",,,,,,,Point,
"(12136, 12789, 581)",,,,,,,Point,
"(11913, 12874, 582)",,,,,,,Point,
"(12290, 12040, 583)",,,,,,,Point,
"(10680, 12474, 584)",,,,,,,Point,
"(12397, 12804, 585)",,,,,,,Point,
"(9524, 12751, 586)",,,,,,,Point,
"(11018, 12512, 587)",,,,,,,Point,
"(13557, 12055, 588)",,,,,,,Point,
"(12866, 11717, 589)",,,,,,,Point,
"(10926, 11921, 590)",,,,,,,Point,
"(12559, 12705, 591)",,,,,,,Point,
"(12340, 11725, 592)",,,,,,,Point,
"(14429, 12397, 593)",,,,,,,Point,
"(13342, 12244, 594)",,,,,,,Point,
"(12685, 12113, 595)",,,,,,,Point,
