Coordinate 1,Coordinate 2,Ellipsoid Dimensions,Tags,Description,Segment IDs,Parent ID,Type,ID
"(11952, 10390, 553)",,,,,,,Point,
"(12164, 10076, 554)",,,,,,,Point,
"(11612, 10263, 555)",,,,,,,Point,
"(11059, 10918, 556)",,,,,,,Point,
"(8481, 11590, 557)",,,,,,,Point,
"(12164, 8732, 558)",,,,,,,Point,
"(12164, 12797, 559)",,,,,,,Point,
"(11918, 13002, 560)",,,,,,,Point,
"(12071, 13095, 561)",,,,,,,Point,
"(10497, 13350, 562)",,,,,,,Point,
"(11926, 12840, 563)",,,,,,,Point,
"(12105, 12483, 564)",,,,,,,Point,
"(13457, 12627, 565)",,,,,,,Point,
"(12973, 12976, 566)",,,,,,,Point,
"(13551, 11802, 567)",,,,,,,Point,
"(12760, 12534, 568)",,,,,,,Point,
"(11382, 13180, 569)",,,,,,,Point,
"(11807, 12474, 570)",,,,,,,Point,
"(11161, 12738, 571)",,,,,,,Point,
"(10855, 12432, 572)",,,,,,,Point,
"(10251, 11964, 573)",,,,,,,Point,
"(11875, 12670, 574)",,,,,,,Point,
"(11458, 12304, 575)",,,,,,,Point,
"(13032, 12916, 576)",,,,,,,Point,
"(12743, 11964, 577)",,,,,,,Point,
"(14572, 11505, 578)",,,,,,,Point,
"(13602, 11794, 579)",,,,,,,Point,
"(13109, 12687, 580)",,,,,,,Point,
"(12998, 12814, 581)",,,,,,,Point,
"(12743, 12874, 582)",,,,,,,Point,
"(13160, 11998, 583)",,,,,,,Point,
"(11569, 12406, 584)",,,,,,,Point,
"(13253, 12695, 585)",,,,,,,Point,
"(10353, 12627, 586)",,,,,,,Point,
"(11841, 12338, 587)",,,,,,,Point,
"(14376, 11853, 588)",,,,,,,Point,
"(13704, 11488, 589)",,,,,,,Point,
"(11748, 11649, 590)",,,,,,,Point,
"(13347, 12406, 591)",,,,,,,Point,
"(13100, 11394, 592)",,,,,,,Point,
"(15175, 12040, 593)",,,,,,,Point,
"(14070, 11862, 594)",,,,,,,Point,
"(13542, 12083, 595)",,,,,,,Point,
"(13185, 12253, 596)",,,,,,,Point,
